Rank,Zip Code,"Long, Lat",Population,,,
1,60626,"42.009340, -87.669902","59,251",,,
2,60660,"41.990561, -87.664706","47,726",,,
3,60640,"41.972347, -87.663982","74,030",,,
4,60657,"41.938964, -87.656811","66,789",,,
5,60610,"41.900034, -87.636967","47,513",,,
6,60613,"41.958302, -87.660698","50,548",,,
7,60647,"41.921117, -87.701899","98,769",,,
8,60625,"41.973081, -87.699751","91,351",,,
9,60614,"41.922667, -87.652537","65,474",,,
10,60651,"41.902029, -87.740432","77,583",,,
11,60659,"41.991923, -87.704608","39,155",,,
12,60639,"41.920639, -87.755793","92,951",,,
13,60618,"41.946755, -87.702861","98,147",,,
14,60623,"41.847079, -87.719446","108,144",,,
15,60615,"41.801502, -87.603332","45,096",,,
16,60645,"42.008406, -87.695793","44,197",,,
17,60641,"41.946466, -87.746971","73,824",,,
18,60649,"41.763484, -87.570411","54,823",,,
19,60611,"41.893024, -87.618998","26,522",,,
20,60622,"41.901894, -87.672630","76,015",,,
21,60601,"41.885805, -87.622911","5,591",,,
22,60644,"41.880614, -87.756903","59,059",,,
23,60653,"41.819722, -87.611809","34,502",,,
24,60661,"41.882458, -87.643946","4,382",,,
25,60629,"41.774690, -87.714185","113,984",,,
26,60608,"41.848647, -87.672320","92,472",,,
27,60616,"41.844977, -87.629846","47,073",,,
28,60636,"41.775708, -87.669011","51,451",,,
29,60624,"41.880048, -87.722352","45,647",,,
30,60637,"41.780673, -87.603500","57,090",,,
31,60621,"41.776404, -87.640058","47,514",,,
32,60632,"41.810213, -87.711761","87,577",,,
33,60619,"41.743383, -87.605811","74,963",,,
34,60620,"41.740481, -87.653749","85,771",,,
35,60630,"41.972071, -87.756569","54,781",,,
36,60634,"41.946189, -87.806117","74,164",,,
37,60609,"41.812680, -87.656935","79,469",,,
38,60612,"41.880500, -87.687967","37,990",,,
39,60652,"41.746234, -87.711953","39,126",,,
40,60628,"41.692200, -87.617859","87,827",,,
41,60643,"41.696894, -87.661375","52,568",,,
42,60631,"41.994948, -87.813225","28,832",,,
43,60656,"41.973544, -87.830234","27,129",,,
44,60617,"41.718172, -87.555846","96,288",,,
45,60655,"41.694722, -87.703687","29,138",,,
46,60607,"41.874503, -87.651322","15,552",,,
47,60606,"41.881988, -87.637329","1,682",,,
48,60605,"41.857651, -87.615592","12,423",,,
49,60646,"41.992931, -87.760278","27,016",,,
50,60638,"41.783650, -87.770407","55,788",,,
51,60603,"41.880614, -87.629311",378,,,
52,60633,"41.661941, -87.557757","13,262",,,
53,60602,"41.883067, -87.629187",70,,,
54,60604,"41.878266, -87.626150",78,,,
55,60654,"41.888109, -87.636652",7,,,