Rank,Zip_Code,Population,lat_long
1,11368,"112,425","40.749407, -73.852780"
2,11385,"106,717","40.700671, -73.889433"
3,10467,"103,732","40.877420, -73.872597"
4,11211,"102,624","40.713507, -73.952578"
5,11236,"100,331","40.639761, -73.900640"
348,11754,"18,086","40.886865, -73.245725"
349,12534,"17,967","42.224111, -73.756154"
350,13790,"17,875","42.165361, -76.001942"
351,10603,"17,843","41.057813, -73.777196"
352,14468,"17,789","43.290542, -77.808702"
696,14551,"5,426","43.218114, -77.049402"
697,14590,"5,412","43.245357, -76.832127"
698,12025,"5,404","43.083346, -74.138092"
698,11940,"5,404","40.809637, -72.759740"
699,14801,"5,379","42.104056, -77.292968"
"1,025",13734,"2,028","42.069955, -76.409653"
"1,026",14544,"2,026","42.756251, -77.243735"
"1,027",12197,"2,023","42.609999, -74.724749"
"1,028",14533,"2,021","42.853887, -77.902665"
"1,029",14806,"2,015","42.156645, -77.792643"
"1,325",13782,665,"42.169631, -74.991294"
"1,326",13832,663,"42.668918, -75.686965"
"1,327",12464,653,"42.033404, -74.369416"
"1,328",12405,652,"42.322121, -74.071832"
"1,329",13470,649,"43.209651, -74.610052"
"1,591",12922,39,"44.258049, -74.781866"
"1,594",13333,34,"42.836735, -74.805803"
"1,598",12911,25,"44.535049, -73.468852"
"1,601",13475,16,"42.866228, -74.853412"
"1,604",13353,10,"43.447326, -74.694618"