idx,zipcode,station_count,subway_total(thousand),population(thousand),income(thousand),taxi_records(thousand),transportation_index,neighborhood_index
0,10002,1,1423334.899,74.993,24.022,1196.42,100,95
1,10003,2,34561593.4,54.682,60.891,2937.984,100,93
2,10005,3,8682386.24,8.831,79.517,994.406,100,85
3,10006,3,56401654.6,3.454,81.334,446.942,100,85
4,10009,1,23601644.5,57.925,40.176,696.895,97,93
5,10010,2,80204949.81,33.73,62.467,3917.659,100,93
6,10011,3,75029005.3,50.472,61.986,1212.893,100,94
7,10012,5,6842992.397,23.411,58.313,2247.708,100,92
8,10013,2,47573679.78,28.709,38.304,1788.61,100,92
9,10014,2,2235866.95,30.738,66.601,2184.255,100,92
10,10016,1,34378.036,51.057,66.342,5541.293,100,92
11,10017,1,30820133.27,15.801,69.273,7050.28,100,87
12,10018,2,83256936.7,9.687,48.705,1332.674,98,89
13,10019,3,65637626.11,43.703,55.869,4594.574,100,89
14,10022,5,95436956.24,31.125,80.406,1559.284,100,85
15,10023,1,37286946,62.435,72.424,2274.053,100,90
16,10025,3,21073384.43,92.805,49.733,1004.708,100,90
17,10026,1,18602433.13,39.363,22.491,542.599,100,89
18,10027,1,34614973.43,64.548,23.15,776.551,96,89
19,10029,1,260189.453,79.597,22.232,1023.962,98,90
20,10030,1,2717964.279,29.882,17.97,368.464,100,88
21,10031,1,25200501.79,60.254,24.285,229.765,97,89
22,10032,2,1178275.19,64.264,26.237,293.141,100,91
23,10033,2,6466820.462,59.607,31.348,3.548,100,92
24,10034,3,4111816.147,42.91,29.479,66.468,96,90
25,10036,1,46365378.36,27.428,41.002,3327.544,99,92
26,10038,2,58163171.75,22.8,31.316,466.061,100,94
27,10040,2,39586297.99,44.571,27.905,146.504,98,88
28,10301,1,14478.861,38.733,45.62,6.229,75,64
29,10452,2,63794767.43,76.078,20.606,18.61,97,92
30,10453,6,63023355.1,79.606,21.109,34.597,96,91
31,10454,2,18665903.03,38.203,14.271,69.329,93,87
32,10455,2,5136583.547,42.283,19.389,26.324,97,86
33,10457,1,39839751.21,74.554,19.233,11.168,97,89
34,10459,6,30864686.06,48.351,17.498,17.011,95,82
35,10460,2,12165777.17,59.505,19.517,10.213,94,87
36,10461,4,2157196.29,50.348,40.024,16.96,88,76
37,10462,4,24891686.54,76.756,33.735,33.695,93,86
38,10463,2,461172.571,71.36,40.497,39.402,89,87
39,10467,6,53820977.46,103.732,29.044,20.604,93,83
40,10468,2,28152714.83,78.647,26.852,34.719,96,90
41,10469,1,17868850.72,73.87,42.102,7.253,86,78
42,10470,2,31582742.66,15.432,38.464,13.038,82,77
43,10472,3,5196706.99,68.796,23.565,21.779,90,89
44,11101,4,34225425.47,30.043,57.866,372.501,91,79
45,11102,2,407347.974,30.8,60.436,103.905,91,83
46,11103,2,516315.37,36.14,65.229,317.089,91,79
47,11201,7,90373745.56,62.823,56.293,726.788,96,85
48,11205,1,239431.543,46.064,28.07,165.62,91,83
49,11206,6,22448308.42,88.349,18.661,127.561,95,82
50,11207,9,1482761.419,91.972,24.163,9.693,92,81
51,11209,2,35784197.19,67.809,44.518,63.962,86,82
52,11211,5,4396743.48,102.624,23.567,409.576,98,85
53,11212,2,1123513.087,76.527,20.839,39.553,93,77
54,11213,2,1563348.445,66.295,26.366,162.145,93,85
55,11214,4,66270109.87,92.946,33.765,36.286,89,82
56,11215,2,621635.281,70.156,53.313,293.73,92,85
57,11216,2,28857385.35,56.308,25.135,101.552,94,85
58,11217,5,32069957.18,41.407,49.567,132.858,96,85
59,11218,1,869150.033,74.508,36.432,65.182,91,83
60,11219,5,6234789.577,90.036,26.648,41.942,93,77
61,11221,3,288437.532,83.835,22.305,76.534,94,80
62,11222,2,377967.513,36.492,33.578,172.946,93,84
63,11223,2,319566.993,81.789,32.104,20.965,89,76
64,11224,3,370258.622,46.707,21.281,13.347,89,74
65,11225,6,38465670.52,58.882,30.192,14.369,93,82
66,11226,5,31096741.6,100.277,29.498,88.854,95,81
67,11228,1,2208850.15,44.994,44.932,13.718,87,78
68,11229,3,32565008.21,83.615,37.812,26.401,90,76
69,11230,3,2870189.133,89.075,32.327,28.3,92,77
70,11231,1,1646816.996,37.845,45.154,140.608,90,83
71,11232,3,1645962.653,27.602,28.395,49.626,89,76
72,11233,4,1662674.984,76.819,22.754,20.071,93,78
73,11235,2,720933.137,78.128,31.013,16.608,93,75
74,11237,1,186943.101,49.31,23.104,158.309,96,82
75,11372,1,567994.448,61.844,53.963,163.303,99,83
76,11373,1,43179878.71,93.967,49.098,70.745,94,80
77,11374,1,264440.034,42.653,56.863,34.051,89,79
78,11375,1,14877345.69,73.488,76.467,166.695,90,77
79,11377,4,2252040.497,86.421,54.989,122.37,91,82
80,11385,2,407461.599,106.717,64.481,55.502,92,82
81,11417,1,1731100.985,31.927,69.989,7.762,86,74
82,11421,3,739595.83,41.002,69.053,19.593,85,80
83,11435,2,1285861.842,59.296,59.535,36.119,86,77
84,11691,2,16191185.67,67.094,39.947,9.702,77,69
85,11692,4,1705230.953,20.991,45.816,8.231,78,65
86,11693,2,60357.226,12.919,57.443,0.538,82,68
87,11694,1,1421932.52,21.354,77.547,4.742,82,67