Zip Code,Location,City,Avg. Income/H/hold,,,
10007,"40.713973, -74.008336","New York,ÊNew York",112947,,,
10280,"40.708501, -74.016828","New York,ÊNew York",108536,,,
10162,"40.769298, -73.949942","New York,ÊNew York",108416,,,
10004,"40.691870, -74.014109","New York,ÊNew York",101868,,,
10069,"40.775551, -73.989689","New York,ÊNew York",88091,,,
10464,"40.867099, -73.797609","Bronx,ÊNew York",57458,,,
10471,"40.898117, -73.900227","Bronx,ÊNew York",56488,,,
10465,"40.826285, -73.822762","Bronx,ÊNew York",45650,,,
10469,"40.867849, -73.845140","Bronx,ÊNew York",42102,,,
10475,"40.875266, -73.826037","Bronx,ÊNew York",40528,,,
11201,"40.693682, -73.989693","Brooklyn,ÊNew York",56293,,,
11215,"40.662688, -73.986740","Brooklyn,ÊNew York",53313,,,
11234,"40.612540, -73.894255","Brooklyn,ÊNew York",51446,,,
11217,"40.682306, -73.978099","Brooklyn,ÊNew York",49567,,,
11231,"40.677916, -74.005154","Brooklyn,ÊNew York",45154,,,
10312,"40.547291, -74.179264","Staten Island,ÊNew York",67728,,,
10309,"40.530847, -74.221178","Staten Island,ÊNew York",65397,,,
10307,"40.506815, -74.241709","Staten Island,ÊNew York",64159,,,
10308,"40.551236, -74.150961","Staten Island,ÊNew York",61868,,,
10314,"40.598825, -74.163336","Staten Island,ÊNew York",59560,,,
11004,"40.743796, -73.91949","Queens, New York",93315,,,
11005,"40.774686, -73.90816","Queens, New York",51801,,,
11101,"40.745341, -73.93907","Queens, New York",57866,,,
11102,"40.771286, -73.92462","Queens, New York",60436,,,
11103,"40.762968, -73.91091","Queens, New York",65229,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,