station	zipcode	lat	long	population	avg_household_income	jan_entry	jan_exit	feb_entry	feb_exit	mar_entry	mar_exit	 apr_entry	apr_exit	 may_entry	may_exit	jun_entry	jun_exit	jul_entry	jul_exit	aug_entry	aug_exit	sep_entry	sep_exit	oct_entry	oct_exit	 nov_entry	nov_exit	dec_entry	dec_exit
57 st	10019	40.763972	-73.97745	43,703	55869	1663146115	1293635502	18551046	7888047	18624818	7906650	18678978	7914778	18750016	7928465	18840846	7947347	18903617	7956820	1562673500	1293645576	1562698961	1293677603	1562721481	1293718038	1562776138	1293766057	1562813955	1293793302
49 st	10019	40.759901	-73.984139	43,703	55869	14524235	51512537	14578514	51550622	14649122	51596294	14711056	51602869	14768010	37207076	14840442	37382082	14896869	37530045	14961210	37723671	15006865	37871635	15057317	38001992	15120657	38183115	15179573	38332526
times sq	10018	40.754672	-73.986754	9,687	48705	1892108089	1428127248	1892051048	1428157302	1891990605	1428196760	1891912148	1428231752	1891845221	1428264379	1891778782	1428306232	1891697011	1428340687	1891635388	1428381349	1891557913	1428411021	1891490536	1428453578	1891418150	1428519736	1891325672	1428574727
34 st	10018	40.749567	-73.98795	9,687	48705	1569263174	2048102556	1569298462	2048164618	1569344967	2048251086	1569385972	2048328225	1569427626	2048393773	1569478089	2048474702	1569513693	2048550878	1569553529	2048654992	1569589423	2048736517	1569625634	2048803301	1569676817	2048881888	1569715592	2048945847
28 st	10010	40.745494	-73.988691	33,730	62467	1427999703	1880687827	1428017335	1880706252	1428035637	1880724469	1174469693	1392586199	1174470412	1392594815	1174471376	1392605422	1174472032	1392613621	1174473045	1392622803	1174473710	1392631043	1174474528	1392638810	1174475329	1392647456	1174475919	1392654054
23 st	10010	40.741303	-73.989344	33,730	62467	1999160761	1931529833	1999235595	1931549695	1999331544	1931579576	1999393758	1931601154	1999468664	1931626513	1999543295	1931657220	1999595164	1931680810	1999667471	1931711969	1999745527	1931737429	1999824417	1931764634	1999916336	1931799262	1999980135	1931827555
14 st	10011	40.740893	-74.00169	50,472	61986	2129551966	1511069838	2129506445	1511037622	2129458754	1510999918	2129395010	1510951844	2129342740	1510912743	2129289036	1510873051	2129224376	1510826855	2129176980	1510792046	2129120500	1510752795	2129064671	1510716020	2129009716	1510675562	2128947320	1510627720
prince st	10012	40.724329	-73.997702	23,411	58313	13547592	11613936	13582456	11613093	13616611	11619686	13762568	11935891	13800016	11944745	13848499	11948010	13876989	11952560	13923360	11951212	13957010	11948057	13986404	11962017	14034768	11958435	14065015	11960464
canal st	10013	40.719527	-74.001775	28,709	38304	1949543085	2030936871	1949564347	2030962091	1724225235	2030993839	1724104082	2031015948	1724031711	2031041326	1723932877	2031074051	1723802398	2031100031	1723706199	2031133339	1723579426	2031163990	1723478308	2031191719	1723378310	2031222635	1723259040	2031245778
city hall	10007	40.713282	-74.006978	7,023	112947	184700407	17050636	184932271	17205965	184945204	17211595	184961898	17221585	184966628	17212507	184965167	17193763	184956723	17167995	184955565	17149278	184946280	17121780	184943856	17104647	184945431	17086614	184938250	17088036
cortlandt st	10006	40.710668	-74.011029	3,454	81334	1058666525	871570855	1058666476	871576775	1058666437	871585226	1058666368	871591744	1058666307	871597897	1058666250	871605709	1058666180	871611615	1058666140	871618623	1058666078	871623765	1058666026	871629306	1058665997	871636207	1058665973	871642143
rector st	10006	40.70722	-74.013342	3,454	81334	117674001	16840942	117693555	16841467	117698102	16840117	117702874	16842573	117707687	16843257	117715579	16843978	117720211	16840067	117727400	16845604	117732085	16839894	117736205	16839693	117743848	31273124	117745614	31322413
bowery	10012	40.72028	-73.993915	23,411	58313	2067725	2738781	2065723	2750144	2090689	2777345	2097879	2781867	2116140	2799909	2143773	2825854	2154035	2837969	2182680	2864345	2195957	2877968	2213720	2898166	2241852	2923112	2244965	2928030
chambers st	10038	40.713243	-74.003401	22,800	31316	2115716061	1800341730	2115745640	1800251018	2115780978	1800159612	2115808316	1800036478	2115837223	1799926534	2115868115	1799815802	2115889825	1799678855	2115914770	1799567940	2115942115	1799486361	2115968911	1712893347	2116000156	1712922551	2116021988	1712944644
fulton st	10007	40.710374	-74.007582	7,023	112947	1662208788	1762910806	1662226732	1762910793	1662251652	1762910783	1662268204	1762910775	1662289351	1762910768	1662315450	1762910767	1662337133	1762910767	1662364597	1762910765	1662387828	1762910759	1662412102	1762910755	1662440435	1762910753	1662459836	1762910746
broad st	10005	40.706476	-74.011056	8,831	79517	552625973	1897280169	6206928	5457833	6250234	5485463	6284484	5524629	6321075	5553463	6367632	5585965	6401265	5624520	6443565	5656735	6474173	5696623	6511121	5728456	6556671	5762607	6581328	5802940
7 av	11217	40.67705	-73.972367	41,407	49567	1834966607	772944559	1835003313	772957052	1835056104	772977130	1835263792	773055087	12541486	14099327	12612713	14175594	12615945	14196847	12630249	14230954	12626964	14247809	12634881	14292082	12642211	14344328	12635098	14384820
botanic garden	11225	40.670343	-73.959245	58,882	30192	5328751	1977259	5334825	1981060	5324043	1959934	5301956	1925335	5289111	1898489	5273591	1868803	5273888	1829532	5280629	1802292	5397331	2029413	5390836	2014196	5377186	1986962	5355338	1952354
prospect park	11225	40.661614	-73.962246	58,882	30192	1568549495	1568510510	1568587720	1568549538	1568637514	1568587770	1568681272	1568637660	1568726788	1568681396	1568779011	1568726919	1568820366	1568779198	1568871390	1568820551	1568912021	1568871534	1568953178	1568912192	1568997185	1568953296	1569031284	1568997225
parkside av	11225	40.655292	-73.961495	58,882	30192	4958548	7769912	4977737	7800264	5017230	7851275	5028387	7883511	5042321	7921107	5073431	7974302	5087603	8003067	5125204	8052746	5143179	8084876	5162205	8121154	5184385	8151138	5204383	8181187
church av	11226	40.650527	-73.962982	100,277	29498	855995993	1577500019	856015656	1577518456	856042493	1577547124	856064114	1577574888	856086636	1577604425	856111105	1577639020	856127756	1577657625	856148462	1577681753	856166784	1577701119	856184122	1577719443	856209054	1577746011	856228866	1577765655
cortelyou rd	11226	40.640927	-73.963891	100,277	29498	5695525	2581949	5686472	2567786	5694562	2559302	5669818	2539606	5662088	2528274	5668495	2518947	5645439	2500735	5648891	2493988	5632626	2478189	5621618	2464289	5614084	2452526	5596586	2434704
newkirk plaza	11226	40.635082	-73.962793	100,277	29498	16923885	16870290	16963596	16915543	17002415	16916140	17021366	16930280	17053085	16946175	17097607	16961193	17113522	16981515	17154839	16997209	17176646	17011068	17207310	17024850	17236145	17040047	17252916	17053009
avenue h	11230	40.62927	-73.961639	89,075	32327	117440627	755678	117440631	643834	117440636	658979	117440637	678849	117440643	693013	117440645	706966	117440645	724096	117440646	738554	117440648	758069	117440649	778016	117440649	794726	117440652	811759
avenue j	11230	40.625039	-73.960803	89,075	32327	9895104	9238641	9913348	9251643	9913787	9264478	9294369	9281807	9307840	9294407	9326027	9307892	9337292	9326070	9353020	9337342	9367227	9353033	9380964	9367239	9398109	9380971	9413806	9398105
avenue m	11230	40.617618	-73.959399	89,075	32327	100662820	1449711	100662816	1464454	100662808	1484263	100662803	1499245	100662800	1514302	100662794	1534423	100662785	1548752	100662781	1567614	100662779	1585205	100662770	1600324	100662768	1619317	100662768	1635263
kings hwy	11229	40.60867	-73.957734	83,615	37812	755543305	763625305	755579420	763625305	755629162	763625296	755669727	763625291	755708780	763625287	755760530	763625284	755797771	763625283	755842688	763625280	755885653	763625277	755926353	763625271	755974987	763625270	756011537	763625260
avenue u	11229	40.5993	-73.955929	83,615	37812	134288147	16777277	134294715	16777277	134303673	16777278	134311288	16777280	134319865	16777281	134329536	16777283	1325342719	687875448	1325342663	687882427	1325341810	687888616	1325341011	687894676	1325340320	687902131	1325339470	687907496
neck rd	11229	40.595246	-73.955161	83,615	37812	100662776	16875245	100662776	16879047	100662774	16883373	100662774	16888529	100662774	16893315	100662774	16898897	100662774	16903452	100662774	16906904	100662774	789484	100662774	793475	100663184	798138	100662767	801651
sheepshead bay	11235	40.586896	-73.954155	78,128	31013	12709295	17768603	12741239	17812364	12976137	18259396	13021473	18316357	13068385	18375369	13127546	18444898	13138205	18488037	13162431	18546795	13261779	18621541	13291054	18673566	13312249	18726017	13316825	18767274
brighton beach	11235	40.577621	-73.961376	78,128	31013	14477771	12887280	14509545	12904508	14569478	12924976	15257876	13279065	15320267	13310594	15390882	13341505	15468807	13398387	15538278	13434454	15605532	13477545	15679916	13523082	15758819	13558386	15800616	13588733
ocean pkwy	11224	40.576312	-73.968501	46,707	21281	5898538	5897476	5898540	5897476	5898547	5898262	5898550	5897473	5898554	5897473	5898555	5897472	5898556	5897472	5898556	5897472	5898556	5897471	5898556	5897471	5898556	5897471	5898556	5897471
borough hall	11201	40.693219	-73.989998	62,823	56293	101077948	14408035	101084743	14456334	101093680	14519327	101101643	14569598	101110708	14620663	101122429	14675831	101130939	14718634	101140497	14767276	101148463	14768064	101157224	6616544	101168008	6668476	101175903	6709438
dekalb av	11201	40.690635	-73.981824	62,823	56293	1927429385	1141375007	1927384873	1141399929	1927347120	1141434496	1927298981	1141463566	1927252776	1141491152	1927214068	1141524090	2000093066	1850344989	2000091719	2000091722	2000045251	2000045254	2000005244	2000005247	1999967254	1999967257	1999923401	1999923404
atl av	11217	40.683666	-73.97881	41,407	49567	654312700	134263112	654312649	134263112	654312019	134263112	654312802	134263112	654312782	134263112	654312735	134263112	654312867	134263112	654312885	134263112	654312211	134263112	654312979	134263112	654312254	134263112	654312767	134263112
union st	11217	40.677316	-73.98311	41,407	49567	10569438	12397131	10603359	12433872	10649114	12486255	10675867	12518278	10715051	12545087	10766125	12587378	10794774	12620385	10842485	12667435	10872936	12703788	10907107	12743784	10953473	12793395	10985206	12827772
prospect av	11215	40.665414	-73.992872	70,156	53313	12776186	12746551	12796069	12756344	12850290	12813007	12864469	12844641	12869488	12864490	12879835	12883832	12872667	12908751	12885029	12928297	12896963	12956356	12936601	12980113	13008079	13005665	13055397	13036923
25 st	11232	40.660397	-73.998091	27,602	28395	10262494	7536975	10302899	7551742	10353767	7573411	10395402	7584147	10439267	7593730	10492333	7612957	10528155	7629345	10578346	7654608	10616473	7673529	10657361	7693752	10710892	7718087	10749248	7733037
36 st	11232	40.655144	-74.003549	27,602	28395	100954502	6729369	100968965	6802864	100988193	6896702	101012849	7032153	101026194	7116905	100745840	7220867	100757085	7290177	100772849	7387755	100784315	7464677	100796903	7548497	100811075	7647133	100821005	7717700
45 st	11232	40.648939	-74.010006	27,602	28395	3647017	6981711	3642598	7017803	3645908	7070894	3626707	7106680	3620592	7146574	3635799	7202069	3666865	7235166	3724760	7277482	3763427	7307791	3807471	7344965	3869038	7383462	3894651	7406692
53 st	11220	40.645069	-74.014034	95,643	30152	100617628	134058032	100646229	134042810	100685939	134032494	100714254	134004392	100743752	134001219	100781727	134010874	100807224	134008107	100839308	134012934	100866856	134013720	100894863	134017014	100930469	134024412	100956242	134021166
bay ridge av	11220	40.634967	-74.023377	95,643	30152	7889150	4741083	7906064	4756088	7929966	4778859	7948315	4780917	7968074	4786045	7990614	4792819	8006248	4794107	8026644	4800148	8069024	4967837	8088719	4975116	8110938	4982989	8127485	4988244
77 st	11209	40.629742	-74.02551	67,809	44518	140177388	24512872	140232069	24539228	140301609	24583817	140356069	24605938	140416783	24637750	140492001	24683232	140535090	24701694	140603001	24748279	140660553	24777393	140722080	24808935	140795612	24853230	140842929	24874084
86 st	11209	40.622687	-74.028398	67,809	44518	908472450	1876194750	973007855	1876174733	972946463	1876155123	972830677	1876128843	972730116	1876104598	972624585	1876080761	972501886	1876052240	908704932	1876031180	908734501	1876005321	908764038	1875981575	908799519	1875957162	908826296	1875925945
8 av	11220	40.635064	-74.011719	95,643	30152	56646642	19753319	56722558	19773818	56802127	19799808	56879066	19830502	56946973	19856583	57016715	19884082	54392219	12863602	54479072	12926186	54529917	12977502	54579799	13030083	54633908	13098079	54699554	13150794
new utrecht av	11219	40.624842	-73.996353	90,036	26648	2386174	2687698	2409911	2691822	2439627	2697270	2468271	2703260	2491215	2707604	2521336	2711287	5508856	10704450	5525661	10714327	5534937	10720916	5543802	10728369	5555538	10736305	5566012	10742976
18 av	11214	40.607954	-74.001736	92,946	33765	1675034621	806879313	1675034621	806879314	1675034621	806879314	1675034621	806879315	1946543367	1358550406	1946558875	1358548772	1946574699	1358534005	1946596315	1358515830	1946616770	1358490132	1946636608	1358466245	1946662436	1358439727	1946684574	1358411550
20 av	11214	40.604556	-73.998168	92,946	33765	6805975	6655674	6804854	6697303	6811475	6737265	6794679	6793634	6798104	6839370	7737247	7223915	7733728	6662033	7751901	6674418	7761584	6685437	7766103	6689657	7784289	6699791	7784203	6693526
bay pkwy	11214	40.601875	-73.993728	92,946	33765	775625569	1698296166	775571239	1698312484	775517814	1698333547	775445870	1698352450	775389525	1698368396	775336401	1698389917	775271712	1698397485	775248408	1698408170	875479766	1698414922	875473469	1556066894	875451660	1556065688	875420046	1556064279
9 av	11219	40.646292	-73.994324	90,036	26648	10966313	10995940	10997808	11001160	11041226	11008011	11073074	11013100	11108803	11019170	11150345	11026530	11188207	11032381	11230590	11039496	11267031	11046259	11302912	11052197	11347796	11059825	11381093	11065857
50 st	11219	40.63626	-73.994791	90,036	26648	13381263	26231544	13445265	26315400	13525190	26415591	13584490	26506250	335129509	335116107	335200991	335164737	335254341	335203305	335325569	335250106	335379204	335288030	335438726	335333734	335510309	335388059	335570165	335428854
55 st	11219	40.631435	-73.995476	90,036	26648	4720652	4983329	4727533	4998623	4741291	5013914	4741275	5034949	4748942	5049291	4758501	5065043	4759335	5083974	4771011	5096497	4778290	5111779	4781511	5127014	4798528	5139788	4801335	5159573
71 st	11219	40.619589	-73.998864	90,036	26648	8422608	7861773	8419778	7891689	8429824	7923046	8415824	7963949	8417111	7992041	8419884	8024398	8410128	8060946	8418499	8089549	8409763	8126018	8408238	8157273	8416318	8188180	8405591	8225684
79 st	11228	40.613501	-74.00061	44,994	44932	67001208	117141780	66977590	117147329	66952732	117154615	66918144	117157464	66905285	117163482	66895360	117170907	66880855	117175584	66875793	117183383	66867396	117188046	66851459	117192233	66835566	117201969	66804047	117207923
25 av	11214	40.597704	-73.986829	92,946	33765	2883782	2952248	2902176	2980254	2935389	3009375	2939516	3049851	2963493	3078865	2991834	3113802	3002571	3151898	3028742	3181563	3040342	3220095	3055930	3254275	3086672	3287861	3094646	3330600
bay 50 st	11224	40.588841	-73.983765	46,707	21281	6629628	7337593	6642032	7361547	6663334	7386597	6668202	7419737	6684065	7443442	6704247	7470701	6713295	7504344	6733216	7530939	6745357	7564345	6756226	7592078	6775126	7617263	6781456	7649972
6 av	10011	40.737335	-73.996786	50,472	61986	1209989583	1200589812	1209923703	1200585498	1209855735	1200580928	1209768713	1200575535	1209697439	1200570793	1209632511	1200566655	1209557212	1200562305	1209499522	1200558763	1209427683	1200554194	1209366968	1200549970	1209304581	1200545651	1209230295	1200540048
3 av	10003	40.732849	-73.986122	54,682	60891	1943132723	1476717068	1943076581	1476752113	1943014820	1476795634	1942935361	1476828980	1942868112	1476862610	1942800455	1476890881	1928981298	1057027137	1928955710	1057077376	881828097	1057121430	881891558	1057167691	881971831	1057225203	882030924	1057267810
1 av	10009	40.730953	-73.981628	57,925	40176	1629348345	998063568	1629650895	998624526	955278273	998667482	955239544	998698713	955206577	998728953	955210404	998764698	955260436	998785428	955323601	998817509	955373399	998841690	955410942	998862200	955727437	998953146	370817118	387989612
bedford av	11211	40.717304	-73.956872	102,624	23567	23621106	29601220	23619520	29649307	23669158	29673244	24442228	29953365	24535601	29962654	24620550	29947196	24671710	29917826	24858655	29997340	24938842	30005920	24997315	30010279	25071289	30014988	25109942	30016608
lorimer st	11206	40.703869	-73.947408	88,349	18661	8639996	1924073	8679006	1933966	8729957	1948738	8779713	1953174	8827802	1965369	8885969	1980946	8930322	1989758	8989512	2005583	9034838	2016069	9086127	2025966	9146539	2040282	9184882	2046450
graham av	11211	40.714565	-73.944053	102,624	23567	13899723	11178406	13940855	11190914	14010405	11221092	14073238	11239889	14132479	11254943	14203941	11281433	14251709	11289629	14314005	11312408	14368202	11327650	14422565	11344722	14497335	11374347	14549657	11382370
grand st	11206	40.711926	-73.94067	88,349	18661	238403840	1407164743	238468688	1407120881	238539181	1407080036	238635089	1407027481	238712173	1406978669	238795293	1406926046	238749956	1406835139	238775829	1406783925	239051706	1406771063	239056697	1406666044	239051208	1406602462	239016759	1406535326
montrose av	11206	40.707739	-73.93985	88,349	18661	134647218	7078723	134655778	7104872	134689320	7150861	134711566	7196054	134726598	7228529	134759436	7272459	134760356	7296261	134785442	7334427	134799073	7362967	134815114	7390450	134852968	7435924	134859409	7459763
morgan av	11206	40.706152	-73.933147	88,349	18661	2297892	805235	2278681	788472	2506575	979134	2522174	1000844	2522824	1015344	2530534	1034287	2527896	1045351	2629136	1101283	2631824	1116146	2634714	1129519	2640921	1150680	2639160	1161397
jefferson st	11237	40.706607	-73.922913	49,310	23104	8530131	7094210	8341056	7068290	8376506	7106207	8415298	7156572	8452739	7206317	8506345	7253471	8534547	7311346	8669249	7507157	8689031	7560689	7369364	7606942	7407485	7648759	7426699	7704691
halsey st	11233	40.68637	-73.916559	76,819	22754	73398830	34468665	73401119	34476189	73406398	34487797	73408971	34495691	73411948	34503079	73417171	34514297	73417634	34520468	73422705	34529361	73425663	34536831	73427865	34543885	73433888	34553016	73432722	34560146
wilson av	11385	40.688764	-73.904046	106,717	64481	7499640	6052117	7538344	6074630	7589304	6104108	7640892	6134106	7689092	6164333	7748972	6201114	7792453	6227182	7843350	6257484	7890568	6285368	7934123	6311699	7992893	6345061	8037001	6372201
sutter av	11207	40.669367	-73.901975	91,972	24163	8601020	8601451	8602933	8601774	8611551	8606804	8608457	8602608	8609748	8601702	8616239	8604921	8606356	8592521	8612907	8594258	8617029	8593607	8619456	8591910	8626239	8593294	8623084	8583375
livonia av	11207	40.664038	-73.900571	91,972	24163	6023980	3284865	6043713	3293292	6072095	3303620	6089946	3310764	6111964	3319580	6142125	3328989	6156910	3333477	6183196	3341805	6543713	3542644	6572930	2034043	6600703	2038315	6616452	2031627
marcy av	11211	40.708359	-73.957757	102,624	23567	117440907	7783472	117440910	7837943	117440923	7917926	117440938	8026681	117440947	8076197	117440961	8128018	117440974	8192739	117440983	8240150	117440988	8297476	117440994	8352093	117441009	8404590	117441010	8467554
hewes st	11211	40.70687	-73.953431	102,624	23567	7879976	7858487	7906916	7878564	7943576	7904104	7970602	7939480	7998614	7967074	8033104	7994538	8057291	8027805	8089121	8052535	8116415	8083438	8143408	8110810	8177380	8137993	8199926	8170563
flushing av	11206	40.70026	-73.941126	88,349	18661	16239033	16198313	16294439	16239147	16370624	16294767	16419970	16370766	16476389	16422814	16544110	16482944	16593228	16555165	16664827	16610381	16724854	16686843	16815049	16752814	16880573	16815239	16932305	16880774
myrtle av	11206	40.697207	-73.935657	88,349	18661	13306559	21914618	13312626	21949398	13339793	22005306	13322197	22018257	13326582	22057504	13343808	22113087	13321758	22131421	13346114	22193792	13334535	22215845	13333036	22249971	13349427	22306401	13315142	22379014
kosciuszko st	11221	40.693342	-73.928814	83,835	22305	7093743	3687753	7108325	3687426	7137309	3690086	7137737	3686366	7149258	3685611	7172961	3687596	7174744	3698681	7201321	3738573	7210639	3788467	7225761	3830110	7251816	3871066	7250453	3919893
gates av	11221	40.68963	-73.92227	83,835	22305	3199349	3893238	3223290	3936895	3266359	3981543	3266400	4042176	3288159	4085770	3322634	4133743	3322814	4191640	3360978	4235683	3369802	4292309	3386912	4340713	5597559	5501179	5638131	5582886
chauncey st	11233	40.682893	-73.910456	76,819	22754	5551855	2117826	5551598	2117631	5553762	2119162	5534784	2113658	5530893	2112844	5530337	2114160	5512346	2109442	5512620	2111117	6003336	2265726	6026325	2269384	6039962	2260419	6039723	2243122
alabama av	11207	40.676992	-73.898654	91,972	24163	4961865	6010165	4977139	6032906	5000957	6065328	5013958	6083453	5030505	6105075	5052056	6137546	5064382	6158674	5087774	6187924	5105186	6207615	5124393	6230910	5151297	6266176	5162359	6284948
van siclen av	11207	40.678024	-73.891688	91,972	24163	6508416	8146226	6517428	8186807	6537470	8240182	6545020	8279562	6556085	8320208	6573694	8372430	6583560	8407630	6601871	8459720	6611664	8500224	6625175	8543176	6645515	8595140	6653506	8632265
cleveland st	11207	40.679947	-73.884639	91,972	24163	626662	289835	619911	311332	622035	348253	601776	361054	593593	380060	593809	412118	577721	425908	577309	453286	568504	468756	565363	490636	569645	526987	548538	537864
norwood av	11208	40.68141	-73.880039	98,660	27078	4513155	6833910	4516146	6847648	4527876	6874570	4522052	6881321	4521714	6906938	4529837	6941827	4526667	6963715	4535258	6994950	4533458	7017199	4537345	7043552	4547370	7081636	4539132	7101647
