location	entries	exits	latitude	longitude
57 st	18551046	7888047	40.763972	-73.97745
49 st	14578514	51550622	40.759901	-73.984139
times sq	1892051048	1428157302	40.754672	-73.986754
34 st	1569298462	2048164618	40.749567	-73.98795
28 st	1428017335	1880706252	40.745494	-73.988691
23 st	1999235595	1931549695	40.741303	-73.989344
14 st	2129506445	1511037622	40.740893	-74.00169
prince st	13582456	11613093	40.724329	-73.997702
canal st	1949564347	2030962091	40.719527	-74.001775
city hall	184932271	17205965	40.713282	-74.006978
cortlandt st	1058666476	871576775	40.710668	-74.011029
rector st	117693555	16841467	40.70722	-74.013342
bowery	2065723	2750144	40.72028	-73.993915
chambers st	2115745640	1800251018	40.713243	-74.003401
fulton st	1662226732	1762910793	40.710374	-74.007582
broad st	6206928	5457833	40.706476	-74.011056
7 av	1835003313	772957052	40.67705	-73.972367
botanic garden	5334825	1981060	40.670343	-73.959245
prospect park	1568587720	1568549538	40.661614	-73.962246
parkside av	4977737	7800264	40.655292	-73.961495
church av	856015656	1577518456	40.650527	-73.962982
cortelyou rd	5686472	2567786	40.640927	-73.963891
newkirk plaza	16963596	16915543	40.635082	-73.962793
avenue h	117440631	643834	40.62927	-73.961639
avenue j	9913348	9251643	40.625039	-73.960803
avenue m	100662816	1464454	40.617618	-73.959399
kings hwy	755579420	763625305	40.60867	-73.957734
avenue u	134294715	16777277	40.5993	-73.955929
neck rd	100662776	16879047	40.595246	-73.955161
sheepshead bay	12741239	17812364	40.586896	-73.954155
brighton beach	14509545	12904508	40.577621	-73.961376
ocean pkwy	5898540	5897476	40.576312	-73.968501
borough hall	101084743	14456334	40.693219	-73.989998
dekalb av	1927384873	1141399929	40.690635	-73.981824
atl av	654312649	134263112	40.683666	-73.97881
union st	10603359	12433872	40.677316	-73.98311
prospect av	12796069	12756344	40.665414	-73.992872
25 st	10302899	7551742	40.660397	-73.998091
36 st	100968965	6802864	40.655144	-74.003549
45 st	3642598	7017803	40.648939	-74.010006
53 st	100646229	134042810	40.645069	-74.014034
bay ridge av	7906064	4756088	40.634967	-74.023377
77 st	140232069	24539228	40.629742	-74.02551
86 st	973007855	1876174733	40.622687	-74.028398
8 av	56722558	19773818	40.635064	-74.011719
new utrecht av	2409911	2691822	40.624842	-73.996353
18 av	1675034621	806879314	40.607954	-74.001736
20 av	6804854	6697303	40.604556	-73.998168
bay pkwy	775571239	1698312484	40.601875	-73.993728
9 av	10997808	11001160	40.646292	-73.994324
50 st	13445265	26315400	40.63626	-73.994791
55 st	4727533	4998623	40.631435	-73.995476
71 st	8419778	7891689	40.619589	-73.998864
79 st	66977590	117147329	40.613501	-74.00061
25 av	2902176	2980254	40.597704	-73.986829
bay 50 st	6642032	7361547	40.588841	-73.983765
6 av	1209923703	1200585498	40.737335	-73.996786
3 av	1943076581	1476752113	40.732849	-73.986122
1 av	1629650895	998624526	40.730953	-73.981628
bedford av	23619520	29649307	40.717304	-73.956872
lorimer st	8679006	1933966	40.703869	-73.947408
graham av	13940855	11190914	40.714565	-73.944053
grand st	238468688	1407120881	40.711926	-73.94067
montrose av	134655778	7104872	40.707739	-73.93985
morgan av	2278681	788472	40.706152	-73.933147
jefferson st	8341056	7068290	40.706607	-73.922913
halsey st	73401119	34476189	40.68637	-73.916559
wilson av	7538344	6074630	40.688764	-73.904046
sutter av	8602933	8601774	40.669367	-73.901975
livonia av	6043713	3293292	40.664038	-73.900571
marcy av	117440910	7837943	40.708359	-73.957757
hewes st	7906916	7878564	40.70687	-73.953431
flushing av	16294439	16239147	40.70026	-73.941126
myrtle av	13312626	21949398	40.697207	-73.935657
kosciuszko st	7108325	3687426	40.693342	-73.928814
gates av	3223290	3936895	40.68963	-73.92227
chauncey st	5551598	2117631	40.682893	-73.910456
alabama av	4977139	6032906	40.676992	-73.898654
van siclen av	6517428	8186807	40.678024	-73.891688
cleveland st	619911	311332	40.679947	-73.884639
norwood av	4516146	6847648	40.68141	-73.880039
crescent st	10819327	7237487	40.683194	-73.873785
cypress hills	4192709	2284740	40.689941	-73.87255
75 st	5758057	4254233	40.691324	-73.867139
woodhaven blvd	33554682	11467721	40.693879	-73.851576
104 st	2025768260	1907421348	40.695178	-73.84433
121 st	1945396276	519861074	40.700492	-73.828294
central av	1882390	3104648	40.697857	-73.927397
fresh pond rd	14176699	5662557	40.706186	-73.895877
metropolitan av	150994994	16213840	40.712792	-73.951418
dyckman st	12724746	10829282	40.865491	-73.927271
190 st	1438430190	1844218477	40.859022	-73.93418
181 st	15078247	18912616	40.851695	-73.937969
175 st	218307791	285492154	40.847391	-73.939704
168 st	52958515	22277136	40.840719	-73.939561
155 st	7482091	6435169	40.830518	-73.941514
145 st	655181371	1444678966	40.824783	-73.944216
135 st	117440774	117440779	40.817894	-73.947649
125 st	1691524664	789344858	40.811109	-73.952343
116 st	1159662285	235390481	40.805085	-73.954882
cathedral pkwy	67414130	134407486	40.803967	-73.966847
103 st	36190389	505314349	40.796092	-73.961454
96 st	644476886	18946444	40.791642	-73.964696
72 st	1513748523	1922514811	40.775594	-73.97641
59 st columbus	1397158608	1222582031	40.76266	-73.967258
42 st	2033322496	1830079985	40.757308	-73.989735
w 4 st	117243321	24059023	40.732338	-74.000495
spring st	341136998	85100273	40.726227	-74.003739
high st	1914679198	1905556200	40.699337	-73.990531
lafayette av	8494495	1849107	40.686113	-73.973946
franklin av	305294677	2062461980	40.680596	-73.955827
nostrand av	11994006	23807934	40.680438	-73.950426
utica av	102010813	16777216	40.679364	-73.930729
ralph av	4091247	4354934	40.678822	-73.920786
rockaway av	10390485	6258491	40.67834	-73.911946
broadway jct	16978241	20231086	40.679498	-73.904512
liberty av	5395900	2069011	40.674542	-73.896548
shepherd av	7468513	9037668	40.67413	-73.88075
euclid av	8870149	5353243	40.675377	-73.872106
grant av	1207045937	1761213294	40.677044	-73.86505
80 st	117178603	117440740	40.679371	-73.858992
88 st	5465996	7894397	40.679843	-73.85147
rockaway blvd	135450619	8490335	40.680429	-73.843853
111 st	50331789	50331438	40.697418	-73.836345
broad channel	974296	85026	40.608382	-73.815925
beach 90 st	3165267	3690380	40.588034	-73.813641
beach 98 st	1841313	2060276	40.585307	-73.820558
beach 105 st	117438847	1034817	40.583209	-73.827559
beach 67 st	5230213	4206279	40.590927	-73.796924
beach 60 st	117440788	5357751	40.592374	-73.788522
beach 44 st	1203807	1360959	40.592943	-73.776013
beach 36 st	2179811	1845021	40.595398	-73.768175
beach 25 st	3991585	3970019	40.600066	-73.761353
167 st	1779807082	856340798	40.833771	-73.91844
170 st	934214612	1150156895	40.839306	-73.9134
174	4327729	2086163	40.8459	-73.910136
tremont av	218649356	167841258	40.85041	-73.905227
182	1475109668	1845234099	40.856093	-73.900741
fordham rd	1108099364	167917093	40.861296	-73.897749
kingsbridge rd	704847448	704861118	40.866978	-73.893509
5 av/53 st	13784477	29955650	40.760167	-73.975224
lexington av/53	1476646053	1595614145	40.757552	-73.969055
court sq	2067111111	681624224	40.747846	-73.946
queens plaza	51187483	17146033	40.748973	-73.937243
steinway st	15051100	13229266	40.756879	-73.92074
46 st	14492085	6951221	40.756312	-73.913333
northern blvd	6781442	7263676	40.752885	-73.906006
65 st	6162313	9009116	40.749669	-73.898453
elmhurst av	1625502288	1973026245	40.742454	-73.882017
67 av	10832882	10792514	40.726523	-73.852719
75 av	297369477	942439810	40.718331	-73.837324
sutphin blvd	84182017	3777789	40.70546	-73.810708
parsons blvd	9759806	12083859	40.707564	-73.803326
169 st	7154094	5241324	40.71047	-73.793604
21 st	15122288	10521198	40.744065	-73.949724
greenpoint av	5556502	6120900	40.731352	-73.954449
nassau av	8214280	6019301	40.724635	-73.951277
broadway	37508356	11463560	40.76182	-73.925508
classon av	6820975	5578446	40.688873	-73.96007
47	1924344573	2037621349	40.758663	-73.981329
2 av	67095822	25538199	40.723402	-73.989938
east broadway	101152175	17374780	40.713715	-73.990173
york st	3687489	23658794	40.701397	-73.986751
bergen st	11033477	7278869	40.686145	-73.990862
carroll st	16577727	19440360	40.680303	-73.995048
4 av	11308544	14499799	40.670272	-73.989779
ditmas av	67427074	4819143	40.636119	-73.978172
avenue i	3325799	995582133	40.625322	-73.976127
avenue n	134217916	134217910	40.61514	-73.974197
avenue p	7994781	8153642	40.608944	-73.973022
avenue x	2575625	6475960	40.58962	-73.97425
neptune av	3977267	780373	40.581011	-73.974574
lexington av/63	1758711839	45169647	40.764629	-73.966113
thirty third st	3034551	2091294	40.746081	-73.982076
south ferry	11184778	8212671	40.702068	-74.013664
wall st	168552670	235395040	40.706821	-74.0091
franklin st	1133281489	704643555	40.719318	-74.006886
houston st	68377867	17039733	40.728251	-74.005367
18 st	201491286	738844274	40.74104	-73.997871
157 st	21246337	8603657	40.834041	-73.94489
191 st	9163316	11543064	40.855225	-73.929412
207 st	135029375	9588893	40.864621	-73.918822
215 st	4009102	169493639	40.869444	-73.915279
231 st	15374718	7809085	40.878856	-73.904834
238 st	8264669	6152108	40.884667	-73.90087
bowling green	1289816824	1343007455	40.704817	-74.014065
brooklyn bridge	388517234	564055040	40.713065	-74.004131
bleecker st	12224150	6993016	40.725915	-73.994659
astor pl	16854709	10447815	40.730054	-73.99107
grd cntrl	1255174603	723026402	40.751776	-73.976848
51 st	13082208	24233076	40.757107	-73.97192
110 st	10425199	11019249	40.79502	-73.94425
mt eden av	4456919	4259338	40.844434	-73.914685
176 st	6265368	4409229	40.84848	-73.911794
burnside av	1690562	1635530	40.853453	-73.907684
183 st	1777539633	1863156194	40.858407	-73.903879
mosholu pkwy	5819015	5400192	40.87975	-73.884655
woodlawn	7945195	7989190	40.886037	-73.878751
jackson av	117810786	580505	40.81649	-73.907807
intervale av	8062244	6860961	40.822181	-73.896736
simpson st	671056196	503360152	40.824073	-73.893064
freeman st	169192654	16817084	40.829993	-73.891865
174 st	687708637	298910385	40.837288	-73.887734
e 180 st	13083991	11249249	40.841894	-73.873488
bronx park east	989897460	436274464	40.848828	-73.868457
pelham pkwy	436345731	184623548	40.857192	-73.867615
allerton av	585018104	217439509	40.865462	-73.867352
burke av	4849177	2359497	40.871356	-73.867164
gun hill rd	1325664512	1057288935	40.87785	-73.866256
219 st	2935510	3509445	40.883895	-73.862633
225 st	1953149423	663906745	40.888022	-73.860341
nereid av	7146746	7706583	40.898379	-73.854376
brook av	8076174	11537359	40.807566	-73.91924
cypress av	3883614	3514146	40.805368	-73.914042
e 149 st	3015377	5450370	40.812118	-73.904098
longwood av	4956049	7606185	40.816104	-73.896435
hunts point av	318884274	117485413	40.820948	-73.890549
whitlock av	4555963	2934864	40.826525	-73.886283
elder av	5377760	7972369	40.828584	-73.879159
st lawrence av	6041754	5378168	40.831509	-73.867618
parkchester	167848076	268502717	40.833226	-73.860816
castle hill av	9150038	9597389	40.834255	-73.851222
zerega av	851289	384339	40.836488	-73.847036
middletown rd	4691399	5248009	40.843863	-73.836322
buhre av	2944872	2085815	40.84681	-73.832569
pelham bay park	150996570	9795315	40.852462	-73.828121
39 av	4470869	4389500	40.752882	-73.932755
36 av	16956998	17487451	40.756804	-73.929575
30 av	11299671	22071173	40.766779	-73.921479
astoria blvd	16508254	11718951	40.770258	-73.917843
52 st	101589017	10124568	40.744149	-73.912549
69 st	9116487	9145504	40.746325	-73.896403
junction blvd	13063915	33569881	40.749145	-73.869527
clark st	10372329	9609383	40.697466	-73.993086
hoyt st	5161901	3568048	40.690545	-73.985065
nevins st	5042890	11733159	40.688246	-73.980492
kingston av	4783365	6352547	40.669399	-73.942161
saratoga av	66229588	16479273	40.661453	-73.916327
junius st	5527125	5389668	40.663515	-73.902447
pennsylvania av	3416676	1051419	40.664635	-73.894895
new lots av	12316139	7826214	40.658733	-73.899232
president st	3198651	2303768	40.667883	-73.950683
sterling st	9400576	9585866	40.662742	-73.95085
winthrop st	16285263	6298114	40.656652	-73.9502
beverly rd	67306018	17075485	40.645098	-73.948959
newkirk av	17007358	13683860	40.639967	-73.948411
morris park	5035570	2424800	40.854364	-73.860495
baychester av	6803938	825439	40.878663	-73.838591
tompkinsville	591756	572412	40.636949	-74.074835
